Customer_ID,Customer_Name,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Segment
CUST-1001,Isha Jha,494,1,810.37,4,1,3,8,Developing
CUST-1002,Arjun Gupta,638,1,265.16,5,1,2,8,Developing
CUST-1002,Riya Jha,416,1,1396.86,3,1,4,8,Developing
CUST-1003,Aarav Roy,131,1,31.13,1,1,1,3,At Risk
CUST-1003,Aditya Jha,300,1,1363.84,3,1,4,8,Developing
CUST-1003,Kabir Jha,361,1,1322.75,3,1,4,8,Developing
CUST-1004,Vivaan Jha,77,1,3314.37,1,1,5,7,Developing
CUST-1005,Aarav Verma,251,1,104.31,2,1,1,4,At Risk
CUST-1005,Meera Singh,216,1,146.99,2,1,1,4,At Risk
CUST-1006,Aarav Jha,682,1,225.87,5,1,1,7,Developing
CUST-1006,Kabir Patel,728,1,316.46,5,1,2,8,Developing
CUST-1007,Aarav Verma,29,1,802.12,1,1,3,5,At Risk
CUST-1007,Aditya Kumar,125,1,2539.79,1,1,5,7,Developing
CUST-1007,Riya Sharma,18,1,2654.5,1,1,5,7,Developing
CUST-1008,Meera Das,723,1,1802.39,5,1,4,10,Loyal
CUST-1010,Arjun Sinha,520,1,2249.27,4,1,5,10,Loyal
CUST-1010,Isha Jha,592,1,133.13,5,1,1,7,Developing
CUST-1010,Meera Jha,362,1,1240.89,3,1,4,8,Developing
CUST-1011,Kabir Kumar,437,1,1701.52,4,1,4,9,Loyal
CUST-1012,Aarav Kumar,572,1,393.74,4,1,2,7,Developing
CUST-1012,Meera Das,621,1,681.97,5,1,3,9,Loyal
CUST-1013,Arjun Verma,397,1,1859.22,3,1,4,8,Developing
CUST-1013,Diya Gupta,98,1,234.44,1,1,1,3,At Risk
CUST-1014,Aditya Sharma,242,1,3361.42,2,1,5,8,Developing
CUST-1014,Anaya Singh,190,1,1338.19,2,1,4,7,Developing
CUST-1015,Kabir Sharma,344,1,178.31,3,1,1,5,At Risk
CUST-1016,Kabir Verma,485,1,923.56,4,1,3,8,Developing
CUST-1017,Aditya Das,195,1,1302.64,2,1,4,7,Developing
CUST-1018,Arjun Patel,76,1,1083.55,1,1,4,6,Developing
CUST-1018,Arjun Sinha,344,1,2020.69,3,1,5,9,Loyal
CUST-1018,Meera Das,76,1,400.16,1,1,2,4,At Risk
CUST-1018,Vivaan Patel,419,1,477.23,3,1,2,6,Developing
CUST-1020,Meera Patel,19,1,67.89,1,1,1,3,At Risk
CUST-1022,Aarav Das,562,1,388.51,4,1,2,7,Developing
CUST-1022,Aditya Das,554,1,524.46,4,1,2,7,Developing
CUST-1022,Riya Verma,242,1,707.38,2,1,3,6,Developing
CUST-1025,Anaya Das,368,1,2060.63,3,1,5,9,Loyal
CUST-1026,Aditya Sinha,305,1,851.86,3,1,3,7,Developing
CUST-1026,Isha Kumar,108,1,1348.45,1,1,4,6,Developing
CUST-1027,Kabir Patel,18,1,95.79,1,1,1,3,At Risk
CUST-1027,Kabir Verma,232,1,709.97,2,1,3,6,Developing
CUST-1028,Aditya Roy,105,1,337.39,1,1,2,4,At Risk
CUST-1028,Anaya Kumar,280,1,38.01,2,1,1,4,At Risk
CUST-1028,Anaya Patel,602,1,2024.38,5,1,5,11,Loyal
CUST-1028,Kabir Kumar,110,1,3209.59,1,1,5,7,Developing
