Customer_ID,Customer_Name,Segment,Region
CUST-5426,Isha Das,Consumer,North
CUST-3433,Kabir Sharma,Home Office,South
CUST-3047,Aditya Gupta,Consumer,North
CUST-9792,Vivaan Sinha,Home Office,North
CUST-1775,Aditya Sharma,Consumer,East
CUST-7873,Vivaan Sinha,Consumer,South
CUST-8869,Isha Das,Corporate,North
CUST-8208,Aarav Patel,Corporate,North
CUST-1391,Aditya Singh,Home Office,East
CUST-4104,Anaya Gupta,Corporate,South
CUST-9110,Aditya Sharma,Corporate,East
CUST-8721,Aditya Gupta,Consumer,East
CUST-4242,Arjun Gupta,Home Office,North
CUST-4627,Arjun Sinha,Corporate,South
CUST-6864,Aditya Gupta,Home Office,South
CUST-2998,Riya Jha,Corporate,East
CUST-8554,Aarav Das,Consumer,East
CUST-6855,Aarav Sharma,Consumer,West
CUST-4510,Isha Sharma,Home Office,East
CUST-7287,Aarav Patel,Consumer,East
CUST-2986,Aditya Verma,Consumer,North
CUST-9155,Meera Patel,Corporate,North
CUST-3049,Aarav Das,Home Office,North
CUST-5499,Isha Roy,Home Office,East
CUST-3557,Meera Singh,Corporate,South
CUST-9352,Arjun Sharma,Home Office,North
CUST-5555,Aditya Roy,Home Office,South
CUST-1225,Kabir Sharma,Consumer,West
CUST-8679,Aarav Das,Consumer,North
CUST-4170,Aarav Verma,Home Office,North
CUST-6854,Riya Sinha,Corporate,South
CUST-1154,Diya Kumar,Home Office,South
CUST-3806,Diya Singh,Corporate,East
CUST-3368,Isha Singh,Consumer,South
CUST-4769,Riya Sinha,Home Office,South
CUST-4124,Kabir Gupta,Consumer,North
CUST-7799,Vivaan Sinha,Corporate,South
CUST-9308,Anaya Patel,Home Office,South
CUST-1559,Meera Jha,Consumer,West
CUST-9130,Diya Singh,Corporate,East
CUST-7617,Kabir Gupta,Consumer,North
CUST-3849,Arjun Sinha,Consumer,South
CUST-9527,Anaya Kumar,Corporate,South
CUST-5000,Aditya Das,Consumer,North
CUST-6726,Vivaan Singh,Corporate,South
CUST-1417,Aditya Patel,Consumer,North
CUST-8164,Meera Verma,Corporate,West
CUST-6104,Anaya Jha,Consumer,East
CUST-5968,Aarav Sharma,Consumer,North
CUST-8400,Aditya Patel,Consumer,South
CUST-8266,Meera Verma,Home Office,North
CUST-6305,Anaya Sinha,Home Office,South
CUST-1953,Aarav Roy,Home Office,West
CUST-7172,Kabir Roy,Consumer,East
CUST-2324,Arjun Verma,Corporate,East
CUST-5268,Vivaan Sinha,Consumer,North
CUST-1504,Aarav Patel,Corporate,South
CUST-5175,Riya Das,Corporate,South
CUST-4376,Aarav Das,Home Office,North
CUST-6063,Riya Jha,Corporate,South
CUST-1539,Kabir Patel,Corporate,South
CUST-3779,Aditya Roy,Home Office,South
CUST-8418,Kabir Gupta,Consumer,East
CUST-4925,Aarav Sharma,Corporate,North
CUST-6989,Aditya Das,Home Office,West
CUST-6997,Aarav Singh,Home Office,South
CUST-8239,Anaya Sinha,Corporate,South
CUST-9580,Meera Sharma,Corporate,North
CUST-7881,Riya Kumar,Home Office,East
CUST-8648,Isha Gupta,Corporate,South
CUST-4579,Arjun Jha,Home Office,West
CUST-2906,Meera Gupta,Corporate,North
CUST-9472,Aditya Singh,Corporate,West
CUST-5777,Riya Das,Corporate,South
CUST-8240,Diya Patel,Home Office,East
CUST-2276,Arjun Jha,Consumer,East
CUST-6126,Aditya Gupta,Consumer,East
CUST-9152,Anaya Das,Home Office,West
CUST-7288,Arjun Patel,Corporate,South
CUST-8943,Isha Sharma,Corporate,South
CUST-1876,Riya Das,Home Office,East
CUST-7986,Isha Gupta,Corporate,West
CUST-8489,Arjun Verma,Corporate,South
CUST-1846,Isha Sinha,Corporate,East
CUST-5208,Aarav Sinha,Corporate,South
CUST-4744,Riya Kumar,Home Office,West
CUST-2342,Kabir Patel,Corporate,North
CUST-2604,Vivaan Das,Consumer,East
CUST-6951,Isha Patel,Corporate,South
CUST-8577,Arjun Patel,Home Office,South
CUST-8804,Riya Sharma,Consumer,South
CUST-4687,Isha Singh,Consumer,South
CUST-6742,Aarav Verma,Consumer,South
CUST-1950,Aarav Verma,Corporate,East
CUST-7371,Isha Verma,Home Office,South
CUST-1094,Aditya Singh,Home Office,East
CUST-7166,Diya Sinha,Home Office,North
CUST-8147,Arjun Verma,Home Office,East
CUST-6109,Aditya Jha,Home Office,West
CUST-4030,Meera Sharma,Corporate,West
CUST-9393,Arjun Patel,Corporate,South
CUST-9070,Vivaan Kumar,Consumer,West
CUST-2990,Arjun Roy,Corporate,South
CUST-6588,Aarav Gupta,Corporate,North
CUST-7704,Anaya Sharma,Consumer,West
CUST-5524,Isha Singh,Consumer,North
CUST-6797,Aditya Verma,Consumer,South
CUST-7305,Aarav Gupta,Corporate,West
CUST-9519,Riya Patel,Consumer,East
CUST-6207,Isha Verma,Corporate,North
CUST-9966,Aarav Gupta,Consumer,North
CUST-7852,Arjun Sinha,Consumer,South
CUST-8083,Aditya Verma,Home Office,West
CUST-5223,Aarav Kumar,Consumer,North
CUST-2301,Arjun Sinha,Home Office,East
CUST-6475,Meera Roy,Home Office,North
CUST-3074,Meera Roy,Home Office,East
CUST-3969,Kabir Sinha,Home Office,East
CUST-5124,Kabir Jha,Consumer,East
CUST-7766,Isha Roy,Home Office,East
CUST-8101,Vivaan Patel,Home Office,East
